Total untranslated: 1770

app.subtitle	ERP
maint.form_cost	Form Cost
maint.form_date	Form Date
maint.form_km	Form Km
maint.form_notes	Notes
maint.form_provider	Service Provider
maint.form_quick	Quick select:
maint.form_title_add	Add Record
maint.form_title_edit	Edit Record
maint.form_type	Type:
maint.form_attachment	Attachment:
maint.form_no_attachment	No file selected
maint.form_choose_file	Choose File
maint.header	Header
maint.info_count	Info Count
maint.km_remaining	Km Remaining
maint.label_trip	Label Trip
maint.label_truck	Label Truck
maint.metric_compliance	Metric Compliance
maint.metric_downtime	Metric Downtime
maint.metric_overdue	Metric Overdue
maint.metric_recurring	Metric Recurring
maint.metric_score	Metric Score
maint.next	Next
maint.no_alerts_filter	No Alerts
maint.no_records	No Records
maint.no_schedule	No Schedule
maint.no_schedules	No Schedules
maint.page_info	Page Info
maint.predictions	Predictions
maint.predictions_header	Predictions Header
maint.predictions_title	Predictions Title
maint.prev	Prev
maint.refresh	Refresh
maint.refresh_score	Refresh Score
maint.save	Save
maint.schedule_add	Schedule Add
maint.schedule_delete_confirm	Schedule Delete Confirm
maint.schedule_delete_prompt	Schedule Delete Prompt
maint.schedule_delete_title	Schedule Delete Title
maint.schedule_due_by	Schedule Due By
maint.schedule_every_km	Schedule Every Km
maint.schedule_every_months	Schedule Every Months
maint.schedule_expires	Schedule Expires
maint.schedule_form_expiry	Schedule Form Expiry
maint.schedule_form_interval_km	Schedule Form Interval Km
maint.schedule_form_interval_months	Schedule Form Interval Months
maint.schedule_form_last_date	Schedule Form Last Date
maint.schedule_form_last_km	Schedule Form Last Km
maint.schedule_form_title_add	Schedule Form Title Add
maint.schedule_form_title_edit	Schedule Form Title Edit
maint.schedule_last_date	Schedule Last Date
maint.schedule_last_km	Schedule Last Km
maint.status_due_soon	Status Due Soon
maint.status_ok	Status Ok
maint.tab_health	Tab Health
maint.tab_history	Tab History
maint.tab_schedules	Tab Schedules
maint.target_km	Target Km
maint.title	Title
maint.updated	Updated
maint.warning_count	Warning Count
maint.filter_severity	Filter by Severity
maint.filter_trip	Filter Trip
maint.filter_truck	Filter Truck
maint.filter_type	Filter Type
maint.show_resolved	Show Resolved
maint.due_service	Due for Service
maint.overdue	Overdue
maint.cost_30d	Cost (30d)
maint.total_cost_kpi	Total Cost
maint.severity_critical	Critical
maint.severity_warning	Warning
maint.severity_info	Info
maint.due_by_km	Due by Km
maint.section_status	Status
maint.section_alerts	Alerts
maint.health_overall	Overall Health
maint.health_compliance	Compliance
maint.health_overdue	Overdue
maint.health_recurring	Recurring Issues
maint.col_description	Description
maint.col_interval_days	Interval (days)
maint.col_interval_km	Interval (km)
maint.col_mileage	Mileage
maint.col_next_date	Next Date
maint.col_next_mileage	Next Mileage
maint.health_downtime	Downtime
maint.health_no_data	No health data available
maint.health_ok	All systems nominal
maint.control_panel_subtitle	Maintenance schedules and health monitoring
maint.filter_placeholder	Filter...
maint.unit_km	 km
maint.unit_months	 months
tacho.import_steps	1. Driver inserts card into USB reader
2. Export .DDD file using card reader software
3. Import the .DDD file here
tacho.unknown_error	Unknown error
tacho.import_successful	Import successful
tacho.result_label	{label}: {value}
tacho.violations_warning	Found {count} violation(s) flagged
tacho.result_driver	Driver
tacho.result_plate	Plate
tacho.result_calibration	Calibration
tacho.result_days	Days
tacho.result_odometer	Odometer
tacho.hdr_date	Date
tacho.hdr_file	File
tacho.hdr_records	Records
tacho.hdr_status	Status
tacho.hdr_type	Type
tacho.status_error	Error
tacho.status_ok	OK
tacho.status_partial	Partial
tacho.drop_hint	Drop files here or click to select
tacho.drop_supported	DDD / TGD / other tachograph files
tacho.select_file	Select tachograph file
tacho.history_empty_title	No imports yet
tacho.history_empty_subtitle	Import a tachograph file to see the history
maint_analytics.month_mar	Mar
maint_analytics.month_may	May
maint_analytics.subtitle	Fleet maintenance costs and trends
maint_analytics.section_title	Maintenance Analytics
maint_analytics.type	Type
maint_analytics.cost_month	Cost per Month
maint_analytics.cost_year	Cost per Year
maint_analytics.cost_total	Total Cost
maint_analytics.filter_all	All
maint_analytics.filter_truck	Truck
maint_timeline.section_title	Maintenance Timeline
maint_timeline.add_entry	Add Entry
maint_timeline.date	Date
maint_timeline.type	Type
maint_timeline.cost	Cost
maint_timeline.description	Description
maint_timeline.no_entries	No Entries
client.billed	Billed
client.paid	Paid
client.unpaid	Unpaid
client.overdue	Overdue
client.table_name	Name
client.table_contact	Contact Person
client.table_phone	Phone
client.table_email	Email
client.table_trips	Trips
client.table_revenue	Revenue
client.table_outstanding	Outstanding
client.table_inv_number	Invoice #
client.table_amount	Amount
client.table_due_date	Due Date
client.table_inv_status	Status
client.field_name	Client Name *
client.field_contact	Contact Person
client.field_phone	Phone
client.field_email	Email
client.field_address	Address
client.field_vat	VAT Number
client.field_notes	Notes
client.title	Clients
client.new_button	New Client
client.edit_button	Edit
client.deactivate_button	Deactivate
client.deactivate_confirm	Deactivate '{name}'?
client.deactivate_trips_warning	
({count} trip(s) linked — trips will be preserved)
client.edit_title	Edit Client
client.new_title	New Client
client.save_button	Save
client.name_required	Name is required.
client.already_exists	Client '{name}' already exists.
client.select_hint	Select a client to view details
client.filter_active	Show All
client.section_trips	Recent Trips
client.section_invoices	Outstanding Invoices
client.no_trips	No trips found for this client.
client.no_invoices	No outstanding invoices for this client.
client.kpi_total_revenue	Total Revenue
client.kpi_total_trips	Total Trips
client.kpi_total_km	Total Distance
client.kpi_last_30d	Trips (30d)
client.kpi_total_profit	Total Profit
client.kpi_avg_profit	Avg Profit/Trip
client.kpi_outstanding	Outstanding
client.kpi_last_trip	Last Trip
client.section_contacts	Contacts
client.section_tags	Tags
client.section_chart	Revenue Trend
client.section_timeline	Activity Timeline
client.section_payment	Payment Summary
client.field_type	Client Type
client.field_payment_terms	Payment Terms (days)
client.field_credit_limit	Credit Limit (EUR)
client.field_default_rate	Default Rate/km
client.field_rating	Rating (1-5)
client.field_full_name	Full Name *
client.field_title	Job Title
client.field_contact_type	Contact Type
client.tag_placeholder	Add tag...
client.no_tags	No tags assigned.
client.no_data_export	No client data to export.
client.csv_saved	Clients exported successfully.
client.export_csv	Export CSV
client.merge_button	Merge
client.merge_title	Merge Clients
client.merge_source	Merge from: {name}
client.merge_target_label	Into target client:
client.merge_warning	All trips, invoices, contacts and tags will be moved to the target client. The source client will be deactivated. This cannot be undone.
client.merge_final_confirm	Merge all data from '{source}' into '{target}'?
client.merge_execute	Execute Merge
client.new_contact	New Contact
client.edit_contact	Edit Contact
client.confirm_delete_contact	Delete this contact?
client.add_contact	Add Contact
client.section_kpis	KPIs
client.tab_details	Details
client.tab_trips	Trips
client.tab_invoices	Invoices
client.tab_revenue	Revenue
client.vat	VAT:
client.terms_days	Terms: {} days
client.limit_eur	Limit: €{:,}
client.phone	📞
client.email_icon	✉
client.trip_timeline	Trip: {} — {} / {} — {} km
client.invoice_timeline	Invoice: {} — {} — {} EUR ({})
docs.title	DOCUMENT CENTER
docs.upload	UPLOAD
docs.upload_title	Select files to upload
docs.view	View
docs.delete	Delete
docs.confirm_delete_title	Delete Document
docs.confirm_delete_msg	Delete '{name}'?
This will remove the file and all its links.
docs.search_placeholder	Search documents...
docs.select_document	Select a document to see details
docs.no_documents	No documents found
docs.prev	<
docs.next	>
docs.cat_all	All
docs.cat_maintenance	Maintenance
docs.cat_invoices	Invoices
docs.cat_trips	Trips
docs.cat_drivers	Drivers
docs.cat_vehicles	Vehicles
docs.cat_other	Other
docs.sort_newest	Newest first
docs.sort_oldest	Oldest first
docs.sort_name_az	Name A-Z
docs.sort_name_za	Name Z-A
docs.sort_size_lg	Largest first
docs.sort_size_sm	Smallest first
docs.filters	Filters
docs.filter_apply	Apply Filters
docs.filter_clear	Clear Filters
docs.filter_entity	Entity type:
docs.filter_date_from	From date:
docs.filter_date_to	To date:
docs.filter_type	File type:
docs.details	Details
docs.tags_label	Tags:
docs.add_tag	Add tag...
docs.linked_to	Linked to:
docs.email	Email
docs.email_title	Send document via email
docs.email_prompt	Recipient email address:
docs.email_sent	Email sent successfully.
docs.download_zip	Download as ZIP
docs.archive	Archive
docs.unlink	Unlink
docs.batch_delete	Delete Selected
docs.batch_select_all	Select All
docs.expiry_label	Expiry date:
docs.set_expiry	Set
docs.versions_label	Versions:
docs.restore	Restore
docs.upload_version	Upload new version
docs.confirm_restore	Restore Version
docs.confirm_restore_msg	Restore version {v}? Current version will be replaced.
docs.contract	Create Contract
docs.contract_type	Contract type:
docs.generate_cmr	Generate CMR
docs.expiry_saved	Expiry date saved
docs.version_comment	Comment
docs.version_error	Version error
docs.version_uploaded	Version uploaded
docs.filter_date_range	Date range:
docs.invalid_document_data	Invalid document data.
docs.link_to_trip	Link to trip…
docs.link_to_trip_done	Document linked to trip.
docs.link_to_trip_exists	Already linked.
docs.ocr_fields	Extracted
docs.ocr_last_run	Last run
docs.ocr_not_run	OCR has not been run on this document yet.
docs.pick_trip_empty	No trips match your filter.
docs.pick_trip_placeholder	Type to filter…
docs.pick_trip_search	Search:
docs.pick_trip_title	Pick a trip
docs.rerun_ocr	Re-run OCR
docs.rerun_ocr_done	OCR complete
docs.rerun_ocr_started	OCR started…
docs.select_trip	Select
docs.tab_documents	Documents
docs.tab_proforma	Proforma
docs.cat_proformas	Proformas
docs.cat_receipts	Receipts
docs.entity_documents_title	Documents — {title}
docs.entity_documents_default	Entity Documents
generators.title	Document Generators
generators.subtitle	Create invoices and international CMR waybills for your trips.
generators.trip_label	Trip:
generators.doc_invoice_title	Invoice
generators.doc_invoice_desc	Generate a professional PDF invoice for the selected trip.
generators.doc_cmr_title	CMR Waybill
generators.doc_cmr_desc	Generate an international road consignment note (CMR) with all 4 copies.
generators.tab_invoice	Invoice
generators.cmr_title	Generate CMR Waybill
generators.cmr_subtitle	Create an international CMR waybill for a selected trip.
generators.cmr_trip_select	1. Select Trip:
generators.cmr_options	2. Optional Overrides:
generators.cmr_loading	Loading Address:
generators.cmr_unloading	Unloading Address:
generators.cmr_driver	Driver Name:
generators.cmr_generate	Generate CMR
generators.cmr_open	Open PDF
generators.cmr_generated	CMR generated: {path}
generators.cmr_all_generated	All copies generated: {path}
generators.cmr_select_trip	Please select a trip first.
generators.cmr_error	CMR generation failed: {error}
generators.cmr_primary_language	Primary Language
generators.cmr_secondary_language	Secondary Language
generators.cmr_step_consignment	Consignment Parties
generators.cmr_step_transport	Transport Details
generators.cmr_step_cargo	Cargo Details
generators.cmr_step_instructions	Instructions & Reservations
generators.cmr_step_adr	ADR Dangerous Goods
generators.cmr_step_successive	Successive Carriers
generators.cmr_step_signatures	Signature & Stamp
generators.cmr_generate_all	Generate All 4 Copies
generators.cmr_generate_single	Generate Single Copy
generators.cmr_copy_sender	Sender Copy
generators.cmr_copy_consignee	Consignee Copy
generators.cmr_copy_carrier	Carrier Copy
generators.cmr_copy_admin	Administrative Copy
generators.cmr_not_generated	not generated
generators.cmr_copies_title	Generated Copies
generators.cmr_options_title	Options
generators.cmr_actions_title	Actions
generators.cmr_status_ready	Ready to generate.
generators.cmr_status_generating	Generating 4 copies...
generators.open_pdf	Open
generators.cmr_generated_status	generated
generators.cmr_trip_title	CMR Trip #{}
generators.cmr_copy_title	CMR Trip #{} - {} COPY
generators.doc_receipt_title	Receipt
invoice_editor.select_client	Client:
invoice_editor.select_trip	Trip:
invoice_editor.auto_fill	Auto-Fill
invoice_editor.from	From
invoice_editor.bill_to	Bill To
invoice_editor.invoice_number	Invoice #
invoice_editor.issue_date	Issue Date
invoice_editor.due_date	Due Date
invoice_editor.payment_terms	Payment Terms
invoice_editor.description	Description
invoice_editor.amount	Amount
invoice_editor.quantity	Qty
invoice_editor.unit_price	Unit Price
invoice_editor.tax_rate	Tax Rate
invoice_editor.tax_rate_short	Tax%
invoice_editor.total	Total
invoice_editor.add_row	Add Row
invoice_editor.remove_row	Remove
invoice_editor.duplicate_row	Duplicate
invoice_editor.move_up	Move Up
invoice_editor.move_down	Move Down
invoice_editor.notes	Notes
invoice_editor.subtotal	Subtotal
invoice_editor.tax	Tax
invoice_editor.discount	Discount
invoice_editor.grand_total	Grand Total
invoice_editor.financial_controls	Financial Controls
invoice_editor.tax_preset	Tax Preset
invoice_editor.discount_type	Discount Type
invoice_editor.discount_value	Discount Value
invoice_editor.currency	Currency
invoice_editor.branding	Branding
invoice_editor.logo	Logo
invoice_editor.company_color	Color
invoice_editor.signature	Signature
invoice_editor.stamp	Stamp
invoice_editor.upload	Upload
invoice_editor.pick_color	Pick
invoice_editor.pick_color_title	Choose Company Color
invoice_editor.preview_pdf	Preview
invoice_editor.generate_pdf	Generate PDF
invoice_editor.print	Print
invoice_editor.email	Email
invoice_editor.save_draft	Save Draft
invoice_editor.load_draft	Load Draft
invoice_editor.cancel	Cancel
invoice_editor.discount_percentage	Percentage
invoice_editor.discount_fixed	Fixed
invoice_editor.net_30	Net 30
invoice_editor.net_15	Net 15
invoice_editor.net_60	Net 60
invoice_editor.due_on_receipt	Due on Receipt
invoice_editor.select_logo	Select Logo Image
invoice_editor.select_signature	Select Signature Image
invoice_editor.select_stamp	Select Stamp Image
invoice_editor.invoice_generated	Invoice generated: {}
invoice_editor.draft_saved	Draft Saved
invoice_editor.draft_saved_msg	Draft '{}' saved successfully.
invoice_editor.draft_loaded	Draft Loaded
invoice_editor.draft_loaded_msg	Draft '{}' loaded successfully.
invoice_editor.no_drafts	No drafts found.
invoice_editor.draft_name	Enter a name for this draft:
invoice_editor.default_service	Transport services
invoice_editor.email_to	Recipient Email
invoice_editor.enter_email	Enter recipient email address:
invoice_editor.trip_details	Trip Details
invoice_editor.loading_stops	Loading Stops
invoice_editor.unloading_stops	Unloading Stops
invoice_editor.loading_label	Loading
invoice_editor.unloading_label	Unloading
invoice_editor.add_loading_stop	Add Loading Stop
invoice_editor.add_unloading_stop	Add Unloading Stop
invoice_editor.distance	Distance
invoice_editor.truck_plate	Truck Plate
invoice_editor.driver	Driver
invoice_editor.browse	Browse
invoice_editor.title	Invoice Editor
invoice_editor.totals	Totals
invoice_editor.line_items	Line Items
invoice_editor.notes_section	Notes
invoice_editor.invoice_details	Invoice Details
invoice_editor.invoice_metadata	Invoice Metadata
invoice_editor.client_info	Client Info
invoice_editor.subtitle	Create and edit professional invoices
invoice_editor.export_json	Export JSON
invoice_editor.branch	Branch / Office
invoice_editor.number_format	Number Format
proforma_editor.title	Proforma Invoice Editor
proforma_editor.subtitle	Create and manage proforma invoices
proforma_editor.select_client	Client:
proforma_editor.mode_client	Client Mode
proforma_editor.mode_internal	Internal Mode
proforma_editor.proforma_details	Proforma Details
proforma_editor.proforma_number	Proforma #
proforma_editor.issue_date	Issue Date
proforma_editor.valid_until	Valid Until
proforma_editor.payment_terms	Payment Terms
proforma_editor.client_info	Client Info
proforma_editor.from	From
proforma_editor.bill_to	Bill To
proforma_editor.description	Description
proforma_editor.line_items	Line Items
proforma_editor.add_row	Add Row
proforma_editor.quantity	Qty
proforma_editor.unit_price	Unit Price
proforma_editor.total	Total
proforma_editor.tax_rate	Tax Rate
proforma_editor.discount	Discount
proforma_editor.discount_percentage	Percentage
proforma_editor.discount_fixed	Fixed
proforma_editor.currency	Currency
proforma_editor.subtotal	Subtotal
proforma_editor.tax	Tax
proforma_editor.grand_total	Grand Total
proforma_editor.financial_controls	Financial Controls
proforma_editor.branding	Branding
proforma_editor.logo	Logo
proforma_editor.company_color	Color
proforma_editor.signature	Signature
proforma_editor.stamp	Stamp
proforma_editor.browse	Browse
proforma_editor.pick_color	Pick
proforma_editor.pick_color_title	Choose Company Color
proforma_editor.notes	Notes
proforma_editor.linked_documents	Linked Documents
proforma_editor.link_document	Link Document
proforma_editor.unlink_document	Unlink
proforma_editor.select_document	Select Document
proforma_editor.select	Select
proforma_editor.cancel	Cancel
proforma_editor.save	Save
proforma_editor.autofill_from_doc	Auto-Fill from Doc
proforma_editor.autofill_empty	No extractable text in the selected document.
proforma_editor.autofill_done	Fields auto-filled from linked document.
proforma_editor.autofill_partial	Linked document has text but no structured data. Manual entry required.
proforma_editor.no_docs_available	No documents available to link.
proforma_editor.no_items	Please add at least one line item.
proforma_editor.preview_pdf	Preview
proforma_editor.generate_pdf	Generate PDF
proforma_editor.print	Print
proforma_editor.email	Email
proforma_editor.email_to	Recipient Email
proforma_editor.enter_email	Enter recipient email address:
proforma_editor.email_confirm	Send proforma via email?
proforma_editor.include_linked_docs	Include linked CMRs and invoices
proforma_editor.email_sent	Email sent successfully.
proforma_editor.email_failed	Failed to send email.
proforma_editor.save_draft	Save Draft
proforma_editor.load_draft	Load Draft
proforma_editor.draft_name	Enter a name for this draft:
proforma_editor.draft_saved	Draft Saved
proforma_editor.draft_saved_msg	Draft '{}' saved successfully.
proforma_editor.draft_save_failed	Failed to save draft.
proforma_editor.no_drafts	No drafts found.
proforma_editor.load	Load
proforma_editor.success	Success
proforma_editor.error	Error
proforma_editor.proforma_generated	Proforma generated: {}
proforma_editor.company_editor	Edit Company Info
proforma_editor.net_30	Net 30
proforma_editor.net_15	Net 15
proforma_editor.net_60	Net 60
proforma_editor.due_on_receipt	Due on Receipt
proforma_editor.select_logo	Select Logo Image
proforma_editor.select_signature	Select Signature Image
proforma_editor.select_stamp	Select Stamp Image
proforma_editor.export_json	Export JSON
proforma_editor.number_format	Number Format
cmr.place_of_loading	Place of Loading
cmr.destination	Destination
cmr.vehicle	Vehicle
cmr.goods_description	Goods Description
cmr.gross_weight	Gross Weight (kg)
cmr.cmr_number	CMR Number
cmr.title	CMR International Consignment Note
cmr.subtitle	Convention on the Contract for the International Carriage of Goods by Road (CMR)
cmr.select_role	Select your role to autofill the form
cmr.role_consignor	I am the Consignor (Sender)
cmr.role_consignee	I am the Consignee (Receiver)
cmr.section_parties	Parties to the Contract
cmr.consignor	Consignor / Shipper
cmr.consignor_ro	EXPEDITOR / EXPEDITEUR
cmr.consignee	Consignee
cmr.consignee_ro	DESTINATAR / CONSIGNATAIRE
cmr.section_parties_sub	Boxes 1-2
cmr.section_route	Route & Attached Documents
cmr.section_route_sub	Boxes 3-5
cmr.place_of_loading_ro	LOCUL PREDARII MARFII / LIEU DE PRISE EN CHARGE
cmr.locality_country	Locality / Country
cmr.destination_ro	LOCUL LIVRARII MARFII / LIEU DE LIVRAISON
cmr.date	Date
cmr.loading_country	Loading Country
cmr.delivery_country	Delivery Country
cmr.documents	Documents attached
cmr.documents_ro	DOCUMENTE ANEXATE / DOCUMENTS ANNEXES
cmr.section_vehicle	Vehicle & Driver
cmr.section_vehicle_sub	Boxes 6-7
cmr.truck_plate	Truck plate
cmr.trailer_plate	Trailer plate
cmr.driver_name	Driver name
cmr.driver_license	Driver license
cmr.section_cargo	Cargo Description
cmr.section_cargo_sub	Boxes 8-14
cmr.adr_toggle	ADR Dangerous Goods
cmr.add_adr	+ Add ADR Entry
cmr.section_instructions	Instructions & Reservations
cmr.section_instructions_sub	Boxes 13-17
cmr.sender_instructions	Instructions (carriage, customs, insurance)
cmr.sender_instructions_ro	INSTRUCTIUNILE EXPEDITORULUI / INSTRUCTIONS DE L'EXPEDITEUR
cmr.carrier_reservations	Carrier reservations and observations
cmr.carrier_reservations_ro	REZERVARILE TRANSPORTATORULUI / RESERVES DU TRANSPORTEUR
cmr.payment_instruction	Payment instruction
cmr.payment_instruction_ro	MODALITATEA DE PLATA / INSTRUCTION DE PAIEMENT
cmr.cod	Cash on delivery (COD)
cmr.cod_ro	PLATA LA LIVRARE / REMBOURSEMENT
cmr.amount_eur	Amount (EUR)
cmr.special_agreements	Special agreements
cmr.special_agreements_ro	INTELEGERI SPECIALE / CONVENTIONS SPECIALES
cmr.distance	Distance (km)
cmr.distance_ro	DISTANTA / DISTANCE
cmr.distance_placeholder	Total transport distance
cmr.section_carrier	Carrier
cmr.section_carrier_sub	Boxes 18-19
cmr.carrier	Carrier (Transporter)
cmr.carrier_ro	TRANSPORTATOR / TRANSPORTEUR
cmr.successive_carriers	Successive carriers
cmr.add_successive_carrier	+ Add successive carrier
cmr.section_charges	Charges (Box 20)
cmr.section_charges_sub	The sender pays / The consignee pays
cmr.cost_type	Cost type
cmr.sender	Sender
cmr.consignee_short	Consignee
cmr.section_issue	Issue & Signatures
cmr.section_issue_sub	Boxes 21-24
cmr.established_in	Established in
cmr.place	Place
cmr.city_country	City / Country
cmr.sig_sender	Signature — Consignor (Sender)
cmr.sig_carrier	Signature — Carrier (Transporter)
cmr.sig_consignee	Signature — Consignee
cmr.generate	Generate CMR
cmr.print	Print
cmr.save	Save
cmr.distance_km	Distance (km)
cmr.vat_cui	VAT/CUI:
cmr.vat	VAT:
cmr.eori	EORI:
cmr.tel	Tel:
cmr.contact	Contact:
cmr.email	Email:
cmr.reg_no	Reg No:
cmr.consignor_placeholder	Name, address, country
cmr.consignee_placeholder	Name, address, country
cmr.documents_placeholder	List attached documents
cmr.label_name	Name
cmr.label_address	Address
cmr.label_country	Country
cmr.label_plate	Plate
cmr.label_trailer	Trailer
cmr.label_driver	Driver
cmr.label_from	From
cmr.label_to	To
text_danger	Danger
text_success	Success
text_warning	Warning
document.batch_deleted	{n} documents deleted
document.deleted	Document deleted
document.downloaded_zip	Downloaded as ZIP
document.emailed	Document emailed
document.version_added	New version added
document.version_restored	Version restored
file_filter.all	All Files
file_filter.images	Images
automation.attachments_empty	Attachments Empty
automation.body_label	Body:
automation.browse_title	Browse Title
automation.confirm_delete_title	Delete this pipeline run and its processed file?
automation.continue_to_email	Continue to Email
automation.copy_run	Copy path
automation.delete_run	🗑 Delete
automation.detail_title	Select a run to view details
automation.download_done	Package saved to:
{path}
automation.download_empty	No documents to package.
automation.download_pdf	📄 Download Combined PDF
automation.download_run	📥 Download
automation.download_zip	📦 Download ZIP
automation.draft_saved_title	Draft saved
automation.drop_title	Drop images or PDFs here
automation.email_title	Send Customer Package
automation.err_bad_to	Email address is not valid.
automation.err_no_to	Please enter a recipient address.
automation.mode_advanced	Advanced
automation.mode_label	Mode:
automation.mode_simple	Simple
automation.no_docs_msg	There are no documents to send. Cancel and run the automation first.
automation.no_docs_title	No documents
automation.package_create_error	Internal error: package row creation failed
automation.package_empty	(No documents linked to this trip yet)
automation.package_subtitle	Package for {trip}
automation.package_title	Prepare Customer Package
automation.prepare_package	Prepare Customer Package
automation.refresh	Refresh
automation.related_docs	Related documents:
automation.save_draft	Save Draft
automation.save_pdf	Save document as…
automation.search_trips	Search all trips…
automation.select_trip	Select a trip to link this document to:
automation.send	Send
automation.send_documents	Send Documents
automation.sending	Sending…
automation.skip_package	Skip — Create Package
automation.standalone_title	Standalone Package
automation.subject_label	Subject:
automation.tab_title	Automation
automation.title	Document Automation
automation.to_label	To:
automation.to_placeholder	Type email address...
automation.trip_not_found	Trip not found
automation.err_read_input	Cannot read input: {}
automation.err_database	Database error: {}
automation.err_processing	Processing failed: {}
automation.err_ocr	OCR failed: {}
automation.err_ocr_persist	OCR persistence failed
automation.err_match_persist	Match persistence failed
automation.err_grouping	Grouping failed: {}
automation.err_grouping_no_doc	Grouping produced no document
automation.no_match	No trip match — run finished without attachment
automation.imported	Imported {} ({} bytes)
automation.processing_complete	Enhanced → {} ({} pages, {} images)
automation.ocr_complete	OCR complete: {} chars, confidence={}%, engine={}
automation.match_found	Match: trip #{} confidence={}% ({} candidates)
automation.match_manual	Match required manual selection ({} candidates)
automation.simple_done	Simple mode: processing complete, awaiting user action
automation.linked_doc	Linked document #{} to trip #{}
automation.preview_trip_format	Trip #{} — {} ({} → {})
automation.err_matching	Matching failed: {}
automation.scanned_title	Scanned — {}
automation.cancelled	Cancelled
automation.run_label	Run #{}
automation.label_status	Status:
automation.label_stage	Stage:
automation.label_matched_trip	Matched trip:
automation.label_extracted_fields	Extracted fields:
automation.label_top_candidates	Top candidates:
automation.label_document	Doc #{}
automation.err_standalone_failed	Failed to create standalone document. Check that the processed PDF exists on disk.
automation.err_package_failed	Failed to build the package. Try again.
automation.simple_awaiting	Document processed — choose an action below.
automation.simple_select_trip	Optionally select a trip to associate this document with:
date_picker.open_calendar	Open calendar
date_picker.select_date	Select date
signature.no_signature	No signature
signature.accepted	Signature accepted
signature.cleaned_up	Cleaned up
signature.select_title	Select Signature Image
signature.filter_images	Image files (*.png *.jpg *.jpeg *.bmp);;All files (*.*)
signature.label_selected	Selected: {}
signature.label_loaded	Loaded: {}
receipt.title	RECEIPT
receipt.editor.title	Receipt Generator
receipt.editor.subtitle	Create professional receipts for payments, reimbursements and expenses
receipt.editor.generate_pdf	Generate PDF
receipt.editor.print	Print
receipt.editor.save_draft	Save Draft
receipt.editor.load_draft	Load Draft
receipt.editor.duplicate	Duplicate
receipt.editor.export_json	Export JSON
receipt.editor.email	Email
receipt.editor.browse	Browse
receipt.editor.attach_files	Attach Files
receipt.editor.select_file	Select File
receipt.editor.validation_error	Validation Error
receipt.editor.pdf_generated	Receipt Generated
receipt.editor.pdf_generated_msg	PDF saved to: {path}
receipt.editor.error	Error
receipt.editor.print_no_number	No receipt number. Generate first.
receipt.editor.print_no_file	No PDF file found. Generate first.
receipt.editor.duplicated	Receipt Duplicated
receipt.editor.duplicated_msg	Copy created with new number.
receipt.editor.email_placeholder	Email feature coming soon.
receipt.editor.no_attachments	No files attached.
receipt.editor.draft_name	Draft name:
receipt.editor.draft_saved	Draft Saved
receipt.editor.draft_saved_msg	Draft "{name}" saved.
receipt.editor.draft_save_failed	Failed to save draft.
receipt.editor.no_drafts	No drafts saved yet.
receipt.editor.load	Load
receipt.editor.cancel	Cancel
receipt.section_type	RECEIPT TYPE
receipt.section_info	RECEIPT INFORMATION
receipt.section_parties	PARTIES
receipt.section_payment	PAYMENT DETAILS
receipt.section_logistics	LOGISTICS
receipt.section_purpose	PURPOSE
receipt.section_financial	FINANCIAL
receipt.section_employee	EMPLOYEE EXPENSES
receipt.section_attachments	ATTACHMENTS
receipt.section_notes	NOTES
receipt.section_branding	BRANDING & SIGNATURES
receipt.type_customer_payment	Customer Payment
receipt.type_cash_receipt	Cash Receipt
receipt.type_driver_reimbursement	Driver Reimbursement
receipt.type_employee_expense	Employee Expense Reimbursement
receipt.type_fuel_reimbursement	Fuel Reimbursement
receipt.type_toll_reimbursement	Toll Reimbursement
receipt.type_miscellaneous	Miscellaneous Business Expense
receipt.type_refund	Refund
receipt.type_deposit	Deposit
receipt.type_advance_payment	Advance Payment
receipt.type_other	Other
receipt.number_label	Receipt No.
receipt.number_placeholder	Auto-generated
receipt.issue_date_label	Issue Date
receipt.issue_date_placeholder	YYYY-MM-DD
receipt.payment_date_label	Payment Date
receipt.payment_date_placeholder	YYYY-MM-DD
receipt.currency_label	Currency
receipt.language_label	Language
receipt.received_from	Received From
receipt.received_by	Received By
receipt.payment_method_label	Payment Method
receipt.reference_number_label	Reference No.
receipt.transaction_id_label	Transaction ID
receipt.bank_reference_label	Bank Reference
receipt.invoice_reference_label	Invoice Reference
receipt.related_trip_label	Related Trip
receipt.trip_placeholder	Trip #
receipt.pickup_label	Pickup Location
receipt.delivery_label	Delivery Location
receipt.route_label	Route
receipt.dispatcher_label	Dispatcher
receipt.purpose_label	Purpose
receipt.amount_label	Amount
receipt.amount_helper	Enter the payment amount
receipt.vat_rate_label	VAT Rate (%)
receipt.vat_placeholder	e.g. 19
receipt.vat_helper	Optional
receipt.vat_amount_label	VAT Amount
receipt.total_label	Total
receipt.amount_words_label	Amount in Words
receipt.words_placeholder	Auto-calculated
receipt.employee_name_label	Employee Name
receipt.department_label	Department
receipt.expense_category_label	Expense Category
receipt.mileage_label	Mileage
receipt.fuel_label	Fuel
receipt.accommodation_label	Accommodation
receipt.meals_label	Meals
receipt.parking_label	Parking
receipt.tolls_label	Tolls
receipt.other_label	Other
receipt.notes_label	Notes
receipt.logo_label	Company Logo
receipt.logo_placeholder	Path to logo image
receipt.signature_label	Signature
